Backend,Nama_Model,Temperatur,Rata_Skor_MOS,Rata_Waktu_Detik,Jumlah_Data
Ollama,qwen2.5vl:3b,0.1,1.0,103.59,27
Ollama,qwen2.5vl:3b,0.4,1.0,8.68,27
Ollama,qwen2.5vl:3b,0.7,1.0,8.99,27
Ollama,qwen2.5vl:3b,1.0,1.0,8.14,27
Ollama,qwen2.5vl:7b,0.1,1.0,127.25,27
Ollama,qwen2.5vl:7b,0.4,1.0,17.26,27
Ollama,qwen2.5vl:7b,0.7,1.0,16.23,27
Ollama,qwen2.5vl:7b,1.0,1.0,17.29,27
Ollama,qwen3-vl:2b,0.1,1.0,3.12,0
Ollama,qwen3-vl:2b,0.4,1.0,2.84,0
Ollama,qwen3-vl:2b,0.7,1.0,2.84,0
Ollama,qwen3-vl:2b,1.0,1.0,2.84,0
Ollama,qwen3-vl:4b,0.1,1.0,5.5,11
Ollama,qwen3-vl:4b,0.4,1.0,5.17,6
Ollama,qwen3-vl:4b,0.7,1.0,5.1,9
Ollama,qwen3-vl:4b,1.0,1.0,5.02,12
vLLM,Qwen/Qwen2.5-VL-3B-Instruct-AWQ,0.1,1.0,2.11,27
vLLM,Qwen/Qwen2.5-VL-3B-Instruct-AWQ,0.4,1.0,1.76,27
vLLM,Qwen/Qwen2.5-VL-3B-Instruct-AWQ,0.7,1.0,1.75,27
vLLM,Qwen/Qwen2.5-VL-3B-Instruct-AWQ,1.0,1.0,1.75,27
vLLM,Qwen/Qwen3-VL-2B-Instruct,0.1,1.0,2.54,27
vLLM,Qwen/Qwen3-VL-2B-Instruct,0.4,1.0,1.76,27
vLLM,Qwen/Qwen3-VL-2B-Instruct,0.7,1.0,1.62,27
vLLM,Qwen/Qwen3-VL-2B-Instruct,1.0,1.0,1.64,27
